,fit_time,score_time,test_nmae,train_nmae,test_nmse,train_nmse,test_nrmse,train_nrmse,test_rmsle,train_rmsle,test_norm_rmse,train_norm_rmse
MCH_svr_3,10.446084976196289,0.021074771881103516,-0.05387174794048,-0.05580610655377186,-0.005615167253792632,-0.005985824898290617,-0.07493441968676766,-0.07736811292962119,0.0024500484351471907,0.0025070260025467166,0.005945934269827479,0.006159071303301874
MCH_svr_4,10.936997175216675,0.01896524429321289,-0.05388830654441413,-0.055833118267539984,-0.005490897787783596,-0.006024198927171411,-0.07410059235784554,-0.07761571314605961,0.0023939351048196905,0.0025161057174732148,0.005906168783431948,0.006161236702575547
MCHC_svr_0,13.732867956161499,0.02005147933959961,-0.6470548543860251,-0.5744594752984723,-0.8133580547987677,-0.6181912874142113,-0.901863656435255,-0.7862514148885275,0.0028160758815181986,0.0024100564504112654,0.014970279412503644,0.012798691823183928
MCHC_svr_1,15.071489572525024,0.011967658996582031,-0.5863990152025701,-0.5904842634599949,-0.6421032525925578,-0.6578971722356257,-0.801313454643411,-0.8111086069298153,0.0024679862130815907,0.002490974151659667,0.01308415659793151,0.013256184512595217
MCHC_svr_2,15.1356360912323,0.012965202331542969,-0.5801964925984648,-0.5922644590614646,-0.6224283069826588,-0.6628203520328527,-0.7889412569910759,-0.8141377967106384,0.0024174462590878295,0.0025007984914864616,0.012896279480174909,0.013300577483947522
MCHC_svr_3,13.548022747039795,0.030915260314941406,-0.5727628072070168,-0.5938569215581833,-0.6236838681360511,-0.6626759729911273,-0.7897365814852767,-0.8140491219767559,0.0024072482267438254,0.002502225746538189,0.013957948260565706,0.013299513844490417
MCHC_svr_4,14.732372045516968,0.021929264068603516,-0.5749848107414447,-0.5948719948620715,-0.6134922025546256,-0.6663854478458635,-0.7832574305773458,-0.816324352108807,0.0023745490968098046,0.002510294165657261,0.0136932744921666,0.013351687530090977
MCV_svr_0,10.868648290634155,0.02856135368347168,-0.18848948078078162,-0.1628621235680783,-0.07195248165818546,-0.05094226832159288,-0.26823959748364046,-0.22570393953494228,0.0028208042787374443,0.002441308744750077,0.007795461903068013,0.006501781675698416
MCV_svr_1,11.030850887298584,0.01787853240966797,-0.16748890117878323,-0.1682972948000767,-0.05419135174286515,-0.05505461330317992,-0.23279036007288864,-0.23463719505479075,0.0025096323741530292,0.002527250444819927,0.006795231438520295,0.006756229957188639
MCV_svr_2,11.314286947250366,0.006884098052978516,-0.16489507186805236,-0.16902520407003266,-0.05169495289263771,-0.055680887930618345,-0.22736524117075968,-0.23596798073174746,0.0024633863943925357,0.00254095160024489,0.006545181586073677,0.0068085665893075535
MCV_svr_3,11.652251243591309,0.011933326721191406,-0.1627325952703959,-0.16968139194461732,-0.05113650547245453,-0.05584757666328897,-0.22613382204450208,-0.23632091880171965,0.002470293200647989,0.0025438545484433974,0.0065209550553980535,0.006799432954381376
MCV_svr_4,11.373910188674927,0.01114654541015625,-0.16152856469321494,-0.17022480755830058,-0.04917198955664333,-0.056395838098593144,-0.22174758072331552,-0.23747807919594,0.002420003571746207,0.00255524201480679,0.006436301871760902,0.0068345648777110475
MONO_svr_0,8.468149423599243,0.024937868118286133,-0.048781715748096595,-0.048818916118431796,-0.004120493622124179,-0.004125645242120756,-0.06419107120249809,-0.06423118590000308,0.0416737536377591,0.04143163050497888,0.045850765144641495,0.045879418500002205
MONO_svr_1,8.549929141998291,0.014958858489990234,-0.04889393223515805,-0.04872182797283701,-0.004189345003998943,-0.004105949326637414,-0.06472514970240659,-0.06407768196991379,0.04143083635362973,0.04146089341299871,0.04623224978743328,0.04576977283565271
MONO_svr_2,8.311894416809082,0.020949125289916992,-0.048747493374139646,-0.04869146164070198,-0.004094823589226123,-0.004127136905055058,-0.06399080863081918,-0.06424279652268461,0.04188381056037905,0.04136456614368589,0.04570772045058513,0.04588771180191758
MONO_svr_3,8.402652502059937,0.027923583984375,-0.048241654497796535,-0.04854058404511771,-0.004120912401505739,-0.004114263680083866,-0.0641943330949527,-0.06414252629951415,0.04178034738210597,0.041355567045145813,0.04585309506782336,0.04581609021393868
MONO_svr_4,8.42991304397583,0.024931907653808594,-0.04901579034103891,-0.048689619210211324,-0.004113308568837853,-0.004124379496207438,-0.06413508064108014,-0.06422133209617688,0.040671284185379436,0.0416354077625433,0.04581077188648582,0.045872380068697774
MPV_svr_0,8.608438968658447,0.029729366302490234,-0.8330804414318801,-0.8060541975179282,-1.0961131237587816,-1.0168136876299703,-1.0469542128282314,-1.0083718002948963,0.11560230194079717,0.10964955679950565,0.1881002861098801,0.17795647138202136
MPV_svr_1,8.582545280456543,0.01793217658996582,-0.8012559683279872,-0.8135588793533723,-1.0060505155442152,-1.0387791591835378,-1.0030206954715417,-1.0192051604969128,0.10925650953539698,0.11111110622176698,0.18586273852984606,0.18545002337202346
MPV_svr_2,8.806034803390503,0.0139617919921875,-0.7957458373198801,-0.8147988353363168,-0.9860322980920877,-1.0436620107728383,-0.9929915901416727,-1.0215977734768407,0.10801815342389304,0.11144721372336296,0.18892811023997497,0.18347234609331678
MPV_svr_3,8.584836483001709,0.032707929611206055,-0.8230230511187941,-0.8080945275714602,-1.0542339625282393,-1.026898043896431,-1.0267589602863174,-1.0133597800862393,0.11159203285006176,0.11053967753060706,0.19198802441564905,0.18154833102512025
MPV_svr_4,8.413882493972778,0.029691696166992188,-0.8095085092745564,-0.8111907341803468,-1.040256332232488,-1.030943785979763,-1.0199295721923587,-1.0153540200244262,0.11029411317970797,0.11080579986209885,0.18522931201655968,0.18576728770079506
NEUT_svr_0,8.439872980117798,0.020651817321777344,-0.049729725546834136,-0.05075479740234902,-0.0043619346525094515,-0.004407242023570306,-0.06604494418583039,-0.06638706217005168,0.014705170442890053,0.015205210467719912,0.005200389305970897,0.005227327729925329
NEUT_svr_1,8.414560317993164,0.03698277473449707,-0.050489941190395175,-0.05038186147682764,-0.004472911598789166,-0.004376643776745933,-0.06687982953618501,-0.06615620739390925,0.01465666253649543,0.015211398273761518,0.005266128309935828,0.005209150188496791
NEUT_svr_2,8.254407167434692,0.036414146423339844,-0.050828280196854585,-0.050401558984707384,-0.004387042643283914,-0.004399525835878652,-0.06623475404411126,-0.06632892156426676,0.01550592559198402,0.015008448288436492,0.005247924271173025,0.005222749729469824
NEUT_svr_3,8.27885127067566,0.02100396156311035,-0.0506417508020599,-0.050225221048714436,-0.0044193377748381725,-0.004387614809282084,-0.06647809996410978,-0.06623907313121224,0.016175124365997693,0.014824722650290483,0.005234496060166125,0.005215675049701752
NEUT_svr_4,8.313144445419312,0.02129817008972168,-0.05092771448573536,-0.05068196643016485,-0.004363837349019203,-0.004411014604042428,-0.06605934717372859,-0.06641546961395686,0.014448653736830684,0.015277757677651282,0.005201523399506189,0.005229564536532037
PLT_svr_0,11.91240930557251,0.019328594207763672,-55.887042382870106,-52.56898878830183,-5030.38563622399,-4619.230790308185,-70.92521156982184,-67.96492323477004,0.40453837474606075,0.3696557560364176,0.1570662157960401,0.1689669314156178
PLT_svr_1,12.16012716293335,0.0023355484008789062,-53.750569402148486,-52.845826149843596,-4781.271055584771,-4672.03708871383,-69.14673568278383,-68.35230126860273,0.34370045659129767,0.380246838940981,0.17174197966368807,0.15439432813157117
PLT_svr_2,12.405836343765259,0.0022051334381103516,-53.029725990219355,-53.057435399323225,-4726.023740714514,-4685.225560220042,-68.74608163898881,-68.44870751314478,0.38236700941154894,0.3727563748012272,0.17525214889226884,0.15498196124258468
PLT_svr_3,12.287415742874146,0.02003645896911621,-49.94653189175239,-53.883095863951766,-4200.131217518416,-4816.285729647089,-64.80841934130484,-69.39946490893924,0.3511787355506475,0.3806273125163719,0.16176864997145107,0.15539641306164617
